id,teks,label
361,"GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim",Non-bullying
362,"Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib",Bullying
363,Napa lu balik dari penjara sih?,Bullying
364,Mending lu pada tobat dah,Non-bullying
365,"selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT",Bullying
366,Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?,Bullying
367,ih mukanya kek anjing rumah gwa,Bullying
368,woi anak anjing ngapain lu hidup bgst,Bullying
369,Udah jelek gak usah d jelek2 in lagi bro,Bullying
370,Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?,Bullying
371,Benci aja Ama orang jelek pake selingkuh segala,Bullying
372,Udah tutup mulut nya bau kambing,Bullying
373,Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah,Bullying
374,Kayak Randy Pangalila klo gk pake kacamata,Non-bullying
375,Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu,Non-bullying
376,Apa ganteng nyasih anjing.. Kucel gini jadiin model,Bullying
377,keknya dia ngeliat masa depan yang hancur deh,Bullying
378,INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA,Bullying
379,Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.,Bullying
380,"dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh",Bullying
381,"Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet",Bullying
382,Saya segenap hati minta maap,Non-bullying
383,Dulu Bahagia Sekarang Banyak Utang,Bullying
384,Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG,Non-bullying
385,editan sama konsepnya nice banget lahhh,Non-bullying
386,iri kok sama babi hahah najis,Bullying
387,LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI,Bullying
388,Jelek aja tukang selingkuh lo buriq !,Bullying
389,kok kalian komennya pada kek gini ya,Non-bullying
390,"Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga",Bullying
391,Kalian kaloga cocok mau di paksain?,Non-bullying
392,ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir,Non-bullying
393,"Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe",Bullying
394,"ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT",Bullying
395,Cocok banget sama2 orang gak bener biar lah dia hancur bersama,Bullying
396,EH KEK ADA PENAMPAKAN LONTE,Bullying
397,Meninggalkan berlian demi Tai Sapi,Bullying
398,"Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri",Bullying
399,Pantes disini mulainya si ajg berulah,Bullying
400,Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!,Bullying
401,Buah nangka buah kemanggi gak ada akhlak lu babi,Bullying
402,Perlahan karirmu ancur bro dan lu akan kembali kebawan,Bullying
403,Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha,Bullying
404,"ngapain juga nginap di rumah cowo, gaada keluarga lg lo?",Bullying
405,"Eh ada pelakor, pas banget frame ke tiga, orang ke 3",Bullying
406,Anak gblk dikasi berlian malah milih kerikil,Bullying
407,Dikasih bidadari malah milih dajjal awokawok:v,Bullying
408,Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami,Non-bullying
409,Kesihan gue sama org otak dangkal kek gini,Bullying
410,Murahh banget lo jijik gue …. Dikick EVOS mlah open BO,Bullying
411,"senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing",Bullying
412,Indahnya pemandangan banyak LonT lonT mau di jual,Bullying
413,"bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri",Bullying
414,siapapun tolong kasih tau aku ini masalah nya apaa gais,Non-bullying
415,dikasih hati yg malaikat milih yg berhati iblis greget:(,Bullying
416,Di kasih bidadari malah pilih kotoran,Bullying
417,Dikasih bidadari malah minta lonte,Bullying
418,Gajadi beli Model murahan barang pasti murahan,Bullying
419,Modelny aja murahan apalagi barangnya,Bullying
420,"muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu",Bullying
421,"Males beli gua,gara gara ada lonte",Bullying
422,"Padahal bulug gini ya mukanya.. ehh,, maaf..",Bullying
423,Padahal cantikan jessica kemana mana,Non-bullying
424,Dikasih bidadari malah milih sampah,Bullying
425,yaelah muka pasan aja bangga lu njing,Bullying
426,Wah ibarat lebih milih iblis daripada bidadari haha,Bullying
427,"@rangga_kanahaya knp gk truck sampah, kek mukanya sampah",Bullying
428,"Gajadi beli, takut ketularan lonte nya",Bullying
429,"hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam",Non-bullying
430,Jangan beli baju lonte entar kena sial,Bullying
431,Dasar cewe lo itu LONTE tau kau!,Bullying
432,Disini pada kenapa dah? Aku gapaham tolong,Non-bullying
433,Itu ditengah manusia apa monyet kok kulitnya bercorak batik,Bullying
434,Muka lu sama anjing gwe..lebih ganteng anjing gwe rik,Bullying
435,"Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte",Bullying
436,"Etdah ninggalin yang baik demi lonte, situ waras mas wkwk",Bullying
437,Gw melihat cewek murahan di postingan ini,Bullying
438,yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?,Bullying
439,Ih ko muka jelek banget siii serem kek setan,Bullying
440,Itu yang foto ketiga jablay murahan bukan?,Bullying
441,Jelek aja tukang selingkuh lo buriq !!!!,Bullying
442,Emang kalian se suci apa sampai nghina dia segitu nya,Non-bullying
443,Mending yang follow pada unfollow Udeh gausah ribet,Non-bullying
444,"Dekil tatoan, mampus karir Lo hancurr pantek",Bullying
445,Udah ada berlian malah milih batu nisan,Bullying
446,"Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2",Bullying
447,Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek,Bullying
448,Setan ma setan mahh emg cocokk udee,Bullying
449,Lonte kurus pucet kek mayat hidup,Bullying
450,Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun,Bullying
451,@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong,Non-bullying
452,bego anak orang udah ga perawan noh gara lu wkwkw,Bullying
453,Frustasi..Sudah habis uangnya..Kasihannn,Bullying
454,Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras,Non-bullying
455,Semangat Rick untuk usaha barunya,Non-bullying
456,Hadehh muka kaya tong sampah .,Bullying
457,"banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya",Non-bullying
458,Ni org jelek ga ada obat.kok jj mau liat apa ya..,Bullying
459,"Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka",Non-bullying
460,Tuhan yesus baik semangat rick,Non-bullying
461,"Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)",Non-bullying
462,"Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha",Bullying
463,jelek dapet selingkuhan jelek juga keren yaa imbang wkkw,Bullying
464,"Wah ngehina fisik ni orang,ga bener ya wkwkwkwk",Non-bullying
465,BUNUH DIRI LAH SONO GOBLOX,Bullying
466,Sabar semua komentar ini ujian,Non-bullying
467,Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!,Non-bullying
468,"Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank",Non-bullying
469,Erick masuk neraka jalur selingkuh bos,Bullying
470,Trs berkarya walaupun brd di titik sprti ini,Non-bullying
471,Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada,Non-bullying
472,Yang ngatain keknya idupnya gapernag bikin kesalahan,Non-bullying
473,Jadi gila kau rupanya karna gak laku lagi di YouTube,Bullying
474,Kasian yah sdh stress banyak masalah,Bullying
475,Kok jatohnya malah kek ajg sih rikkk,Bullying
476,Karir turun jadi autis kasian hahah,Bullying
477,"erick yang kek gini yang gua kangenin, keep it up bruuh",Non-bullying
478,Udah mau autis iya bg awokawkk,Bullying
479,Kasian masih muda udah stresss,Bullying
480,Banyak komen yg support malah ketutup yg hate bgst emang IG,Non-bullying
481,"Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm",Non-bullying
482,Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.,Non-bullying
483,Aura org pinter emg shining ya bun @hy_dindut,Non-bullying
484,Paket lengkap deh.. udh cantik pintar lagi,Non-bullying
485,Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett,Non-bullying
486,"Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy",Non-bullying
487,"Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh",Bullying
488,Anjirlah muka lo kek kuntilanak malah sok cantik,Bullying
489,"Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama jadi jijik kenapa gak sekalian bisu aja",Bullying
490,"Uda pinter, cantik gak kebanyakan tingkah. Perfect",Non-bullying
491,"Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada",Non-bullying
492,Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda,Non-bullying
493,Motivasi ku ka Maudy cantipp bngt,Non-bullying
494,"Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin",Non-bullying
495,Damage nya cewek pinter gada lawann,Non-bullying
496,"cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang",Bullying
497,"cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?",Bullying
498,masih good vibes walaupun sedang lapar,Non-bullying
499,kakak cantik bgt bismillah cerdasnya nular,Non-bullying
500,Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu,Bullying
501,Dua2 nya cantik banget masya Allah,Non-bullying
502,ka nisa mirip ariana grande masa,Non-bullying
503,"Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha",Non-bullying
504,Sekilas yg abu mirip ariana grande haha,Non-bullying
505,Yang satu nya mirip Ariana grande,Non-bullying
506,Kakak sama adek sama sama cantik ya aku suka sama dua duanya,Non-bullying
507,Rambutnya kak modd bagussss… Item berkilauu,Non-bullying
508,Cantik semua congrats kak msuk nominsi tc candler,Non-bullying
509,Maudy enak bet dah cantik iya pinter iya,Non-bullying
510,kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :,Non-bullying
511,Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa,Non-bullying
512,Sutan kamu sangat lucu dan menggemaskan,Non-bullying
513,Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom,Non-bullying
514,"Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya",Non-bullying
515,Muka lu kok cabul banget sih bg hahah,Bullying
516,Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak,Bullying
517,Kak jerome kayak boneka tau hahah,Non-bullying
518,Mukbang makanan sehat dong kak. Salad jepang gituuu.,Non-bullying
519,Yakinin dulu niatnya bg… Semoga sukses,Non-bullying
520,"Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang",Non-bullying
521,Cuman rumus diet ini yg ga bisa dipecahka ya bang?,Non-bullying
522,Perut makin maju tpi semangat jangan tak maju,Non-bullying
523,Pantesan kak Jessica bilang bang jerom beruang wkwkwk,Non-bullying
524,Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika,Non-bullying
525,Kaya tulus ya mukanya klo diliat2,Non-bullying
526,"Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)",Non-bullying
527,Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha,Non-bullying
528,"Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap",Non-bullying
529,Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk,Non-bullying
530,iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul,Non-bullying
531,Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur,Non-bullying
532,Kok makin dewasa makin imutt aih cipaaaaaa,Non-bullying
533,maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa,Non-bullying
534,Nih orang manis bnget sihh ga ngerti lagi,Non-bullying
535,"Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak",Non-bullying
536,Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr,Non-bullying
537,Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.,Non-bullying
538,Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu,Non-bullying
539,"Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab",Non-bullying
540,Gemeshh rasanya kaya aku pengen cubit,Non-bullying
541,"@angelkmgi ini paling cute sih, ganteng parah msh kecil jg",Non-bullying
542,Pengen gw pacul mulut lo!! woii anjeng busuk,Bullying
543,Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu,Non-bullying
544,"Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula",Non-bullying
545,Dilihat sekilas pun tampak jelas kalau cantikkan syifa,Non-bullying
546,Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn,Non-bullying
547,dahlahh emang cantik luar dalam kmu ini cippp,Non-bullying
548,"Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.",Non-bullying
549,Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga,Non-bullying
550,Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati,Non-bullying
551,"Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..",Non-bullying
552,"Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu ya aa",Non-bullying
553,"kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha",Non-bullying
554,Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..,Non-bullying
555,Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory,Non-bullying
556,smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..,Non-bullying
557,Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya,Non-bullying
558,"Kasihan ya , Nagita punya suami kerjaannya berzinah terus",Bullying
559,Koreaable banget face rafathar cakep ganteng manis banget,Non-bullying
560,MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…,Non-bullying
561,"Kok mirip siwon ya lama2, apa perasaan gw aja.",Non-bullying
562,Lucunya berasa kayak kaka dan adek,Non-bullying
563,Itu wajah nagita kya masih umur 20an,Non-bullying
564,"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu",Non-bullying
565,"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.",Non-bullying
566,Nagita masa kaya anak muda coba cantikk bangeett,Non-bullying
567,"Masyaallah mamany cantik anakny ganteng, perfect",Non-bullying
568,Kaya adek kakak.. kak gigi keliatan muda banget,Non-bullying
569,Tambah gede aja rafathar ya tambah pinter ya Rafathar,Non-bullying
570,Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,Non-bullying
571,"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah",Non-bullying
572,"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga",Non-bullying
573,mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.,Non-bullying
574,Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep,Non-bullying
575,i see beauty in everything mba gigi sehat selalu sama dede bayi nya,Non-bullying
576,Mama gigi cantik banget… look younger than her age.. love mama gigi,Non-bullying
577,Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas,Non-bullying
578,Pakaian apapun yg dipake mama gigi selalu keceee,Non-bullying
579,Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga,Non-bullying
580,Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..,Non-bullying
581,Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..,Non-bullying
582,Mama gigi gapernah ga cantik sih kalo menurut aku.,Non-bullying
583,Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.,Non-bullying
584,Cantik banget semoga sehat selalu kakak panutan,Non-bullying
585,MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa,Non-bullying
586,Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya,Non-bullying
587,"makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya",Non-bullying
588,Gapaham lagi cakeup nya natural Masyaallah,Non-bullying
589,Raisa mah tipe cantik tapi sopan santun pakaiannya,Non-bullying
590,"ka yayaaa, why are you always stunning pretty girl.",Non-bullying
591,"Ya Allah ni orang apa peri, cantik amatt",Non-bullying
592,Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik,Non-bullying
593,BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH,Non-bullying
594,Cantik bajunya keren warnanya bikin pangling,Non-bullying
595,Sudah dongggg dan sudah di liked juga.. congratulations,Non-bullying
596,Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk,Non-bullying
597,Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….,Non-bullying
598,udah dong. Lagi ngunyah aja cute banget,Non-bullying
599,Penyihir secantik ini gue rela dikutuk jadi tokek laut,Non-bullying
600,Ya ampun kak makan apa sih kok bisa cantik banget,Non-bullying
601,"Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha",Non-bullying
602,Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu,Non-bullying
603,"lu lebih gak sopan, mukak lu kayak babi!",Bullying
604,ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in,Non-bullying
605,"Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran",Non-bullying
606,"Bukan keliatan ragu, tapi keliatan cantik",Non-bullying
607,"Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald",Non-bullying
608,Raisa pake baju merah sumpahh cantik bgttt,Non-bullying
609,"Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget",Non-bullying
610,"Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya",Non-bullying
611,Ka yaya kalo ragu tetep secantik itu yah :),Non-bullying
612,"Ragu aja cantik kan kak, apalagi kalau serius",Non-bullying
613,Ngga alay. Ngga muluk muluk. Natural. Sukaaaa,Non-bullying
614,"seru bgt gemoy, tim berkebun plus tim alam bgt niiii",Non-bullying
615,nikmatnya bisa menghirup oksigen dengan bebas ya :),Non-bullying
616,Slide kedua mukanya mau gaya apa aja tetep cantikk,Non-bullying
617,mba isyana foto gelap2an gini aja aesthetic bgt ya,Non-bullying
618,"mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa",Non-bullying
619,Ga Taulah aku juga suka banget sama gayanya isyan,Non-bullying
620,"Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu",Non-bullying
621,"Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…",Non-bullying
622,"Congrats kak, kamu memang pantes mendapatkannya",Non-bullying
623,Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana,Non-bullying
624,"Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif",Non-bullying
625,"Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan",Non-bullying
626,Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren,Non-bullying
627,yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt,Non-bullying
628,Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku,Non-bullying
629,makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa,Non-bullying
630,"Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!",Non-bullying
631,"hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka",Non-bullying
632,senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…,Non-bullying
633,Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna,Non-bullying
634,congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin,Non-bullying
635,"Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan",Non-bullying
636,CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss,Non-bullying
637,ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA,Bullying
638,"Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat",Bullying
639,"Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya",Non-bullying
640,definisi minat ketemu bakat ketemu kerja keras,Non-bullying
641,@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini,Non-bullying
642,"MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah",Non-bullying
643,"Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis",Non-bullying
644,"Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett",Non-bullying
645,Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata,Non-bullying
646,"aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan",Non-bullying
647,AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget,Non-bullying
648,paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri,Non-bullying
649,"Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini",Non-bullying
650,Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah,Non-bullying
651,<USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,Bullying
652,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,Bullying
653,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,Bullying
654,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",Bullying
655,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",Bullying
656,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",Bullying
657,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",Bullying
658,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,Bullying
659,ayu janda bego pny suami kpn nikah laginya?,Bullying
660,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",Bullying
661,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",Bullying
662,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",Bullying
663,<USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,Bullying
664,Jijik liatnya suer deh minceeee,Bullying
665,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",Bullying
